Title,Score
Sousou no Frieren,9.3
Fullmetal Alchemist: Brotherhood,9.1
Steins;Gate,9.07
Shingeki no Kyojin Season 3 Part 2,9.05
GintamaÂ°,9.05
One Piece Fan Letter,9.04
Gintama: The Final,9.04
Hunter x Hunter (2011),9.03
Gintama',9.02
Gintama': Enchousen,9.02
Ginga Eiyuu Densetsu,9.01
Bleach: Sennen Kessen-hen,8.99
Gintama.,8.98
Kaguya-sama wa Kokurasetai: Ultra Romantic,8.97
Fruits Basket: The Final,8.95
Clannad: After Story,8.93
Gintama,8.93
Koe no Katachi,8.93
Takopii no Genzai,8.92
Takopii no Genzai,8.92
Kusuriya no Hitorigoto 2nd Season,8.92
Code Geass: Hangyaku no Lelouch R2,8.91
3-gatsu no Lion 2nd Season,8.9
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.9
Monster,8.89
